design,rank,geo_mean_cycles,geo_mean_elapsed_s,n_datapoints
boom21-2large,0,1314491.1,330.52,49
boom21-2large,1,1300009.8,341.13,49
boom21-2large,2,1314780.7,337.64,50
boom21-2large,3,1320051.3,331.82,50
boom21-2large,4,1306652.9,318.37,50
boom21-2large,5,1309841.7,326.71,49
boom21-2large,6,1312467.4,345.52,49
boom21-2large,7,1313199.8,341.52,49
boom21-2large,8,1273769.1,363.97,49
boom21-2large,9,1296909.7,332.97,49
boom21-2large,10,1211447.0,399.10,49
boom21-2small,0,2660170.2,263.43,86
boom21-2small,1,2660170.2,260.88,86
boom21-2small,2,2660170.2,258.04,86
boom21-2small,3,2660170.2,263.64,86
boom21-2small,4,2660170.2,254.17,86
boom21-2small,5,2660170.2,252.84,86
boom21-2small,6,2660170.2,261.34,86
boom21-2small,7,2660170.2,260.12,86
boom21-2small,8,2660170.2,270.86,86
boom21-2small,9,2660170.2,299.73,86
boom21-2small,10,2660170.2,349.58,86
boom21-large,0,1570749.8,184.07,50
boom21-large,1,1600263.4,183.66,49
boom21-large,2,1560676.8,187.33,50
boom21-large,3,1558481.8,184.99,49
boom21-large,4,1574519.4,179.48,50
boom21-large,5,1586278.4,177.87,49
boom21-large,6,1579547.2,185.35,49
boom21-large,7,1564064.4,190.96,50
boom21-large,8,1538073.0,204.40,49
boom21-large,9,1554796.0,200.09,49
boom21-large,10,1437123.9,229.23,50
boom21-small,0,3197664.9,147.67,86
boom21-small,1,3197664.9,153.19,86
boom21-small,2,3197664.9,150.41,86
boom21-small,3,3197664.9,152.92,86
boom21-small,4,3197664.9,148.63,86
boom21-small,5,3197664.9,148.43,86
boom21-small,6,3197664.9,159.77,86
boom21-small,7,3197664.9,151.77,86
boom21-small,8,3197664.9,153.75,86
boom21-small,9,3197664.9,174.41,86
boom21-small,10,3197664.9,206.67,86
rocket21-1c,0,2280515.0,31.16,86
rocket21-1c,1,2280515.0,31.78,86
rocket21-1c,2,2280515.0,32.11,86
rocket21-1c,3,2280515.0,32.16,86
rocket21-1c,4,2280515.0,32.02,86
rocket21-1c,5,2280515.0,31.61,86
rocket21-1c,6,2280515.0,31.68,86
rocket21-1c,7,2280515.0,33.50,86
rocket21-1c,8,2280515.0,32.24,86
rocket21-1c,9,2280515.0,41.13,86
rocket21-1c,10,2280515.0,44.29,86
rocket21-2c,0,1924470.0,40.24,86
rocket21-2c,1,1924470.0,41.09,86
rocket21-2c,2,1924470.0,41.08,86
rocket21-2c,3,1924470.0,41.72,86
rocket21-2c,4,1924470.0,41.10,86
rocket21-2c,5,1924470.0,41.09,86
rocket21-2c,6,1924470.0,41.53,86
rocket21-2c,7,1924470.0,41.88,86
rocket21-2c,8,1924470.0,41.95,86
rocket21-2c,9,1924470.0,52.09,86
rocket21-2c,10,1924470.0,59.01,86
